FIXED TIME,CABLE TV,MAGAZINES,NAT SPOT RADIO,NATL NEWSP,NETWORK RADIO,NETWORK TV,NEWSPAPER,OUTDOOR,SPOT TV,SUNDAY MAGS,SYNDICATION,TOTAL,Unnamed: 0,value,onediffvalue,TOTALdiff,valuediff
2013-10-07,54.6,0.0,0.0,0.0,0.0,222.9,0.0,0.0,19.8,0.0,263.2,560.5,3,23036.869496562962,1388.1184099547888,,
2013-10-14,21.3,0.0,0.0,0.0,0.0,117.2,0.0,0.0,9.7,0.0,413.5,561.7,10,22465.428786823206,-266.11125332451996,1.2000000000000455,-571.4407097397561
2013-10-21,14.1,0.0,0.0,0.0,0.0,145.8,0.0,0.0,10.3,0.0,279.1,449.3,17,22193.35910808403,-89.73356709486438,-112.40000000000003,-272.0696787391753
2013-10-28,3.7,0.0,0.0,0.0,0.0,44.7,0.0,233.0,21.5,0.0,326.1,629.0999999999999,24,21304.295078202184,270.0847016672834,179.7999999999999,-889.0640298818471
2013-11-04,13.0,0.0,0.0,0.0,0.0,175.9,0.0,0.0,15.1,0.0,215.3,419.3,31,21776.840103863873,94.5968123385319,-209.7999999999999,472.5450256616896
2013-11-11,31.9,0.0,0.0,0.0,0.0,194.4,0.0,0.0,13.7,0.0,457.7,697.7,38,23161.120145858436,154.3710091853198,278.40000000000003,1384.2800419945634
2013-11-18,1.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,404.5,45,22730.484739180316,137.47337784404954,-293.20000000000005,-430.6354066781205
2013-11-25,358.7,387.4,25.0,0.0,5.0,1704.0,207.4,903.2,15.7,0.0,277.2,3883.6,52,25843.36447931908,-412.6206301510483,3479.1,3112.8797401387637
2013-12-02,338.6,0.0,174.9,0.0,34.9,988.3,0.0,0.0,16.1,0.0,239.8,1792.6000000000001,59,22843.65966783959,264.6112227764965,-2091.0,-2999.704811479489
2013-12-09,339.2,378.8,174.9,0.0,34.9,197.5,44.7,0.0,26.4,0.0,191.4,1387.9,66,23541.760513786492,242.51016660414925,-404.70000000000005,698.1008459469012
2013-12-16,605.4,390.9,174.9,0.0,34.9,816.9,0.0,0.0,43.2,0.0,194.3,2260.5,73,25270.45964129814,64.1322787019895,872.5999999999999,1728.6991275116488
2013-12-23,1082.5,324.4,174.9,0.0,34.9,2449.0,45.4,0.0,6.0,0.0,338.5,4455.599999999999,80,34213.04218990237,643.6897654946328,2195.0999999999995,8942.58254860423
2013-12-30,977.4000000000001,1103.0,50.0,0.0,10.0,2758.3999999999996,0.0,461.69999999999993,40.2,0.0,450.0,5850.599999999999,87,34666.96257755868,15.759395839516653,1395.0,453.9203876563115
2014-01-06,49.7,0.0,0.0,0.0,0.0,68.1,0.0,0.0,42.1,0.0,384.6,544.5,94,27638.333061104084,-477.2957949269608,-5306.099999999999,-7028.629516454599
2014-01-13,31.8,192.3,0.0,0.0,0.0,45.3,0.0,0.0,14.4,0.0,292.4,576.2,101,25937.625654686643,-60.92666897900512,31.700000000000045,-1700.7074064174412
2014-01-20,162.3,0.0,0.0,0.0,0.0,68.1,0.0,0.0,18.2,0.0,312.4,561.0,108,27432.383544673034,174.63365262301232,-15.200000000000045,1494.757889986391
2014-01-27,31.5,264.5,0.0,0.0,0.0,44.5,0.0,445.20000000000005,14.5,0.0,498.1,1298.3,115,24486.93178462302,-729.5601946322396,737.3,-2945.451760050015
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,76.3,122,22879.059272957245,78.66005366913929,-1222.0,-1607.8725116657733
2014-02-10,0.0,58.4,0.0,160.3,0.0,0.0,157.0,0.0,0.0,0.0,564.4,940.1,129,24012.93598571674,353.5872773942036,863.8000000000001,1133.8767127594947
2014-02-17,0.0,529.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.3,725.0,136,23539.583648596217,-187.67576327162428,-215.10000000000002,-473.35233712052286
2014-02-24,144.6,2021.0,0.0,0.0,0.0,609.5,0.0,101.0,2.2,0.0,147.1,3025.2000000000003,143,23226.696127692292,117.3495661455693,2300.2000000000003,-312.8875209039252
2014-03-03,35.9,334.4,0.0,0.0,0.0,157.6,0.0,0.0,12.6,0.0,47.4,587.9,150,22242.844240938113,-359.44951375042086,-2437.3,-983.8518867541788
2014-03-10,386.8,0.0,0.0,0.0,0.0,109.2,0.0,0.0,12.0,0.0,358.5,866.5,157,21072.469741678495,-142.29923023095444,278.6,-1170.3744992596185
2014-03-17,1305.5,0.0,0.0,0.0,0.0,1821.9,0.0,0.0,11.3,0.0,263.4,3402.2,164,20275.77298880771,-252.94346787695653,2535.7,-796.6967528707864
2014-03-24,2823.9,0.0,0.0,0.0,0.0,2785.7,0.0,0.0,11.7,0.0,131.1,5752.4,171,20719.381964012664,130.1629770978896,2350.2,443.60897520495564
2014-03-31,1797.1,0.0,0.0,0.0,0.0,21.1,0.0,65.5,0.5,0.0,475.3,2359.3999999999996,178,20327.053913422413,-264.1301512599187,-3393.0,-392.3280505902512
2014-04-07,12.7,0.0,0.0,0.0,0.0,1511.8,0.0,0.0,0.1,0.0,72.6,1597.2,185,19155.458664387894,17.308272358867857,-762.1999999999996,-1171.595249034519
2014-04-14,395.4,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,140.2,732.8,192,20218.854919788115,-172.01803571517408,-864.4000000000001,1063.396255400221
2014-04-21,416.9,0.0,0.0,0.0,0.0,40.3,0.0,0.0,14.6,0.0,389.0,860.8,199,19938.926930540038,184.3190376642238,128.0,-279.9279892480772
2014-04-28,3.9,0.0,0.0,0.0,0.0,74.1,0.0,814.4,8.7,0.0,96.6,997.7,206,20871.46796581376,-176.46116515512728,136.9000000000001,932.5410352737235
2014-05-05,187.0,444.3,0.0,0.0,0.0,57.0,0.0,0.0,9.1,0.0,29.4,726.8,213,18755.417437506676,-26.125506880896346,-270.9000000000001,-2116.050528307085
2014-05-12,436.9,484.4,0.0,0.0,0.0,940.2,0.0,0.0,7.4,0.0,98.7,1967.5,220,18970.914777092687,72.89770491756697,1240.7,215.49733958601064
2014-05-19,79.6,0.0,0.0,0.0,0.0,1409.0,0.0,0.0,9.7,0.0,380.8,1879.1,227,19118.49409086563,60.87155611827412,-88.40000000000009,147.57931377294517
2014-05-26,575.0999999999999,606.9,0.0,0.0,0.0,1013.4,125.4,366.29999999999995,15.6,0.0,328.8,3031.6,234,20871.452543263706,109.06950297036396,1152.5,1752.9584523980739
2014-06-02,361.6,0.0,0.0,160.3,0.0,900.8,2.6,0.0,20.7,0.0,228.5,1674.5,241,21503.991646762795,213.7601433771062,-1357.1,632.5391034990898
2014-06-09,453.4,394.0,0.0,303.20000000000005,0.0,770.8,125.4,0.0,13.1,0.0,697.1,2757.0,248,22072.037483758697,-280.73544092603487,1082.5,568.0458369959015
2014-06-16,620.9,1560.6,0.0,0.0,0.0,825.5999999999999,0.0,0.0,10.1,0.0,754.3000000000001,3771.4,255,21761.875222270377,151.0467356643047,1014.4000000000001,-310.1622614883199
2014-06-23,420.8,0.0,0.0,0.0,0.0,2829.1,0.0,0.0,0.6000000000000001,0.0,116.4,3366.9,262,21816.05632961483,-26.227223595838268,-404.5,54.18110734445145
2014-06-30,80.6,2116.3,0.0,0.0,0.0,21.5,0.0,428.9,0.4,0.0,779.7,3427.3,269,22591.50797279098,156.67279550913165,60.40000000000009,775.4516431761513
2014-07-07,328.3,0.0,0.0,0.0,0.0,697.0,0.0,0.0,34.2,0.0,332.8,1392.3,276,22273.57617688554,-136.8511074888681,-2035.0000000000002,-317.9317959054388
2014-07-14,255.7,0.0,0.0,0.0,0.0,56.8,0.0,0.0,10.7,0.0,355.9,679.0,283,22111.82106079999,57.75065747796139,-713.3,-161.75511608555098
2014-07-21,308.09999999999997,394.0,0.0,160.3,0.0,19.2,0.0,0.0,8.8,0.0,241.3,1131.6999999999998,290,22004.052113418347,95.54987981608825,452.6999999999998,-107.76894738164265
2014-07-28,34.4,92.0,0.0,0.0,0.0,0.0,157.0,207.9,8.9,0.0,86.9,587.0999999999999,297,21992.127697842887,-98.13868622040481,-544.5999999999999,-11.924415575460444
2014-08-04,31.3,197.0,0.0,0.0,0.0,51.6,0.0,0.0,12.1,0.0,42.1,334.09999999999997,304,21124.936001970236,-220.34311679817634,-252.99999999999994,-867.1916958726506
2014-08-11,0.0,211.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,212.6,311,21196.324450108754,100.76990924650883,-121.49999999999997,71.38844813851756
2014-08-18,304.2,0.0,0.0,0.0,0.0,104.9,0.0,0.0,13.9,0.0,552.3,975.3,318,21148.973325765284,0.737173993670727,762.6999999999999,-47.351124343469564
2014-08-25,648.7,846.3,0.0,0.0,0.0,1279.3,0.0,0.0,14.600000000000001,0.0,650.8,3439.7,325,20851.70141392702,130.75292417697784,2464.3999999999996,-297.2719118382629
