,date,value,period,onediffvalue
0,Oct 07 2013,20942.326771915967,2013-10-07,
1,Oct 08 2013,19561.720016252897,2013-10-08,-1380.6067556630696
2,Oct 09 2013,19687.062718266006,2013-10-09,125.34270201310937
3,Oct 10 2013,19506.168850858245,2013-10-10,-180.89386740776172
4,Oct 11 2013,20603.586577858598,2013-10-11,1097.417727000353
5,Oct 12 2013,31686.184309144322,2013-10-12,11082.597731285725
6,Oct 13 2013,29271.0372316447,2013-10-13,-2415.1470774996233
7,Oct 14 2013,22596.40925379553,2013-10-14,-6674.62797784917
8,Oct 15 2013,19794.60102349891,2013-10-15,-2801.8082302966177
9,Oct 16 2013,21018.351308487745,2013-10-16,1223.7502849888333
10,Oct 17 2013,18938.979354598694,2013-10-17,-2079.371953889051
11,Oct 18 2013,20130.697834966704,2013-10-18,1191.7184803680102
12,Oct 19 2013,27370.704274041796,2013-10-19,7240.006439075092
13,Oct 20 2013,27408.25845837306,2013-10-20,37.55418433126397
14,Oct 21 2013,19805.21541274408,2013-10-21,-7603.04304562898
15,Oct 22 2013,18930.888470588437,2013-10-22,-874.3269421556433
16,Oct 23 2013,19078.418276309025,2013-10-23,147.52980572058732
17,Oct 24 2013,17922.670577612716,2013-10-24,-1155.7476986963084
18,Oct 25 2013,25434.244338175777,2013-10-25,7511.57376056306
19,Oct 26 2013,27401.953192449157,2013-10-26,1967.70885427338
20,Oct 27 2013,26780.12348870901,2013-10-27,-621.8297037401462
21,Oct 28 2013,18382.300518476375,2013-10-28,-8397.822970232635
22,Oct 29 2013,17922.17619870777,2013-10-29,-460.12431976860535
23,Oct 30 2013,17630.1306278682,2013-10-30,-292.04557083957116
24,Oct 31 2013,18586.528542014257,2013-10-31,956.3979141460586
25,Nov 01 2013,20237.41177708852,2013-11-01,1650.8832350742632
26,Nov 02 2013,27700.80148288017,2013-11-02,7463.389705791651
27,Nov 03 2013,28670.716400379995,2013-11-03,969.9149174998238
28,Nov 04 2013,19673.124166808444,2013-11-04,-8997.592233571551
29,Nov 05 2013,18681.82043274585,2013-11-05,-991.3037340625924
30,Nov 06 2013,17955.501652059454,2013-11-06,-726.3187806863971
31,Nov 07 2013,18629.3048189964,2013-11-07,673.8031669369448
32,Nov 08 2013,19745.387544815836,2013-11-08,1116.0827258194367
33,Nov 09 2013,28419.848024871386,2013-11-09,8674.46048005555
34,Nov 10 2013,29332.89408674972,2013-11-10,913.0460618783327
35,Nov 11 2013,23024.32456709969,2013-11-11,-6308.569519650027
36,Nov 12 2013,19788.41562749989,2013-11-12,-3235.9089395998017
37,Nov 13 2013,20101.755886592757,2013-11-13,313.3402590928672
38,Nov 14 2013,19372.02067554793,2013-11-14,-729.7352110448264
39,Nov 15 2013,20329.423945852366,2013-11-15,957.4032703044359
40,Nov 16 2013,29098.409167369446,2013-11-16,8768.98522151708
41,Nov 17 2013,30413.491151046957,2013-11-17,1315.0819836775117
42,Nov 18 2013,20025.377328053546,2013-11-18,-10388.113822993411
43,Nov 19 2013,19136.163173890334,2013-11-19,-889.2141541632118
44,Nov 20 2013,18896.27609094058,2013-11-20,-239.88708294975368
45,Nov 21 2013,19227.699542746603,2013-11-21,331.42345180602206
46,Nov 22 2013,20938.946782601473,2013-11-22,1711.2472398548707
47,Nov 23 2013,29513.125460074403,2013-11-23,8574.17867747293
48,Nov 24 2013,31375.804795955304,2013-11-24,1862.679335880901
49,Nov 25 2013,21523.53786239495,2013-11-25,-9852.266933560353
50,Nov 26 2013,22071.689245585767,2013-11-26,548.151383190816
51,Nov 27 2013,24030.701610731347,2013-11-27,1959.0123651455797
52,Nov 28 2013,26692.077077995327,2013-11-28,2661.3754672639807
53,Nov 29 2013,27376.980899324913,2013-11-29,684.9038213295862
54,Nov 30 2013,30721.10427430329,2013-11-30,3344.123374978375
55,Dec 01 2013,28487.460384897964,2013-12-01,-2233.6438894053244
56,Dec 02 2013,20474.560286971897,2013-12-02,-8012.900097926067
57,Dec 03 2013,19573.663225977816,2013-12-03,-900.8970609940807
58,Dec 04 2013,19123.032246294813,2013-12-04,-450.6309796830028
59,Dec 05 2013,19289.24717285432,2013-12-05,166.21492655950715
60,Dec 06 2013,21657.32141537795,2013-12-06,2368.0742425236313
61,Dec 07 2013,29448.054383066923,2013-12-07,7790.732967688971
62,Dec 08 2013,30339.73894433344,2013-12-08,891.6845612665165
63,Dec 09 2013,21366.150571688562,2013-12-09,-8973.588372644877
64,Dec 10 2013,20377.95214653163,2013-12-10,-988.1984251569338
65,Dec 11 2013,20335.00474039373,2013-12-11,-42.947406137896905
66,Dec 12 2013,19605.816339727175,2013-12-12,-729.1884006665568
67,Dec 13 2013,21010.024769525735,2013-12-13,1404.2084297985602
68,Dec 14 2013,30060.064918076143,2013-12-14,9050.040148550408
69,Dec 15 2013,32037.310110562485,2013-12-15,1977.2451924863417
70,Dec 16 2013,22571.580506819213,2013-12-16,-9465.729603743272
71,Dec 17 2013,21915.42775172049,2013-12-17,-656.152755098723
72,Dec 18 2013,21669.864674009317,2013-12-18,-245.5630777111728
73,Dec 19 2013,22447.08983889291,2013-12-19,777.2251648835918
74,Dec 20 2013,24614.348965524994,2013-12-20,2167.259126632085
75,Dec 21 2013,31188.669690643677,2013-12-21,6574.320725118683
76,Dec 22 2013,32486.23606147641,2013-12-22,1297.5663708327338
77,Dec 23 2013,29193.902120908235,2013-12-23,-3292.3339405681763
78,Dec 24 2013,30549.23168480894,2013-12-24,1355.3295639007047
79,Dec 25 2013,38143.182694136194,2013-12-25,7593.951009327255
80,Dec 26 2013,33576.200808516056,2013-12-26,-4566.981885620138
81,Dec 27 2013,34947.59390021034,2013-12-27,1371.3930916942845
82,Dec 28 2013,36089.11970079798,2013-12-28,1141.5258005876385
83,Dec 29 2013,36992.06441993884,2013-12-29,902.9447191408617
84,Dec 30 2013,31710.198716403003,2013-12-30,-5281.865703535837
85,Dec 31 2013,33991.533181392944,2013-12-31,2281.334464989941
86,Jan 01 2014,36693.59101945861,2014-01-01,2702.057838065666
87,Jan 02 2014,33306.92318949588,2014-01-02,-3386.667829962731
88,Jan 03 2014,33241.66627100193,2014-01-03,-65.25691849394934
89,Jan 04 2014,36622.44547434293,2014-01-04,3380.7792033410005
90,Jan 05 2014,37102.38019081546,2014-01-05,479.9347164725259
91,Jan 06 2014,28338.878575320774,2014-01-06,-8763.501615494682
92,Jan 07 2014,25853.82071601699,2014-01-07,-2485.0578593037826
93,Jan 08 2014,24687.146997707725,2014-01-08,-1166.6737183092664
94,Jan 09 2014,23255.084492846632,2014-01-09,-1432.0625048610927
95,Jan 10 2014,24360.793355565922,2014-01-10,1105.7088627192898
96,Jan 11 2014,33211.2976639438,2014-01-11,8850.504308377876
97,Jan 12 2014,33761.30962632673,2014-01-12,550.0119623829305
98,Jan 13 2014,24853.563285777705,2014-01-13,-8907.746340549023
99,Jan 14 2014,23208.526665078345,2014-01-14,-1645.0366206993604
100,Jan 15 2014,21705.220962971012,2014-01-15,-1503.3057021073328
101,Jan 16 2014,22168.39450818187,2014-01-16,463.1735452108587
102,Jan 17 2014,23819.210371489622,2014-01-17,1650.815863307751
103,Jan 18 2014,32473.640845834245,2014-01-18,8654.430474344623
104,Jan 19 2014,33334.82294347369,2014-01-19,861.1820976394483
105,Jan 20 2014,27993.058854393523,2014-01-20,-5341.76408908017
106,Jan 21 2014,24356.844395111064,2014-01-21,-3636.214459282459
107,Jan 22 2014,24033.573380469716,2014-01-22,-323.2710146413483
108,Jan 23 2014,23566.482022430217,2014-01-23,-467.091358039499
109,Jan 24 2014,23991.91754270732,2014-01-24,425.43552027710393
110,Jan 25 2014,33527.5501057646,2014-01-25,9535.632563057283
111,Jan 26 2014,34557.25851183478,2014-01-26,1029.7084060701745
112,Jan 27 2014,23037.687732069415,2014-01-27,-11519.570779765363
113,Jan 28 2014,24061.499812378966,2014-01-28,1023.8120803095517
114,Jan 29 2014,22472.51672111677,2014-01-29,-1588.9830912621946
115,Jan 30 2014,20900.177441840846,2014-01-30,-1572.339279275926
116,Jan 31 2014,21344.900300568974,2014-01-31,444.7228587281279
117,Feb 01 2014,30141.40333497705,2014-02-01,8796.503034408077
118,Feb 02 2014,29450.3371494091,2014-02-02,-691.06618556795
119,Feb 03 2014,20424.317303704294,2014-02-03,-9026.019845704806
120,Feb 04 2014,21000.648717669956,2014-02-04,576.3314139656613
121,Feb 05 2014,21090.038134089536,2014-02-05,89.38941641958081
122,Feb 06 2014,20455.052851776923,2014-02-06,-634.985282312613
123,Feb 07 2014,19357.941281608724,2014-02-07,-1097.1115701681993
124,Feb 08 2014,27824.459096758197,2014-02-08,8466.517815149473
125,Feb 09 2014,30000.957525093076,2014-02-09,2176.4984283348786
126,Feb 10 2014,20029.999123200487,2014-02-10,-9970.958401892589
127,Feb 11 2014,18833.611884080397,2014-02-11,-1196.3872391200894
128,Feb 12 2014,19215.65490605847,2014-02-12,382.0430219780719
129,Feb 13 2014,22148.901072616776,2014-02-13,2933.246166558307
130,Feb 14 2014,23009.220211781845,2014-02-14,860.3191391650689
131,Feb 15 2014,32377.096235426685,2014-02-15,9367.87602364484
132,Feb 16 2014,32476.0684668525,2014-02-16,98.97223142581424
133,Feb 17 2014,25627.6490785918,2014-02-17,-6848.4193882607
134,Feb 18 2014,21062.942663937603,2014-02-18,-4564.706414654196
135,Feb 19 2014,18799.829326120587,2014-02-19,-2263.113337817016
136,Feb 20 2014,19123.417412740237,2014-02-20,323.5880866196494
137,Feb 21 2014,20341.84560601038,2014-02-21,1218.4281932701451
138,Feb 22 2014,28659.063328821776,2014-02-22,8317.217722811394
139,Feb 23 2014,31162.33812395113,2014-02-23,2503.274795129353
140,Feb 24 2014,22357.373471478528,2014-02-24,-8804.964652472601
141,Feb 25 2014,19745.945681462035,2014-02-25,-2611.4277900164925
142,Feb 26 2014,19396.867681240314,2014-02-26,-349.0780002217216
143,Feb 27 2014,19228.806259811394,2014-02-27,-168.06142142891986
144,Feb 28 2014,20522.528802323337,2014-02-28,1293.7225425119432
145,Mar 01 2014,29351.56591056031,2014-03-01,8829.037108236975
146,Mar 02 2014,31983.785086970114,2014-03-02,2632.2191764098025
147,Mar 03 2014,22416.72268954188,2014-03-03,-9567.062397428235
148,Mar 04 2014,20094.72399340203,2014-03-04,-2321.99869613985
149,Mar 05 2014,18460.702499828447,2014-03-05,-1634.0214935735821
150,Mar 06 2014,18765.561459597815,2014-03-06,304.8589597693681
151,Mar 07 2014,19806.996475771146,2014-03-07,1041.435016173331
152,Mar 08 2014,26687.564077708335,2014-03-08,6880.5676019371895
153,Mar 09 2014,29467.638490717167,2014-03-09,2780.0744130088315
154,Mar 10 2014,19402.697007512426,2014-03-10,-10064.94148320474
155,Mar 11 2014,18392.80907903874,2014-03-11,-1009.8879284736868
156,Mar 12 2014,18540.155550765056,2014-03-12,147.34647172631594
157,Mar 13 2014,18365.619005052606,2014-03-13,-174.53654571244988
158,Mar 14 2014,19235.039238774276,2014-03-14,869.4202337216702
159,Mar 15 2014,25099.42443150586,2014-03-15,5864.3851927315845
160,Mar 16 2014,28471.543879100485,2014-03-16,3372.119447594625
161,Mar 17 2014,19715.30224444799,2014-03-17,-8756.241634652495
162,Mar 18 2014,17688.493366777147,2014-03-18,-2026.8088776708428
163,Mar 19 2014,17382.478986865426,2014-03-19,-306.01437991172133
164,Mar 20 2014,17101.853642241083,2014-03-20,-280.6253446243427
165,Mar 21 2014,18196.123069094807,2014-03-21,1094.2694268537234
166,Mar 22 2014,25145.22000826569,2014-03-22,6949.096939170882
167,Mar 23 2014,26700.93960396179,2014-03-23,1555.7195956961004
168,Mar 24 2014,18941.950536887278,2014-03-24,-7758.989067074512
169,Mar 25 2014,17849.993974383888,2014-03-25,-1091.9565625033902
170,Mar 26 2014,18083.194598571186,2014-03-26,233.20062418729867
171,Mar 27 2014,17621.522972140752,2014-03-27,-461.6716264304341
172,Mar 28 2014,18782.355560462773,2014-03-28,1160.8325883220205
173,Mar 29 2014,26144.575661995754,2014-03-29,7362.220101532981
174,Mar 30 2014,27612.080443647017,2014-03-30,1467.5047816512633
175,Mar 31 2014,18933.03725994826,2014-03-31,-8679.043183698755
176,Apr 01 2014,18509.29167586803,2014-04-01,-423.7455840802322
177,Apr 02 2014,18286.37811569034,2014-04-02,-222.91356017769067
178,Apr 03 2014,17101.163968016666,2014-04-03,-1185.2141476736724
179,Apr 04 2014,18810.64985413645,2014-04-04,1709.4858861197827
180,Apr 05 2014,24885.68713546953,2014-04-05,6075.03728133308
181,Apr 06 2014,25763.169384827586,2014-04-06,877.4822493580577
182,Apr 07 2014,17468.309868223474,2014-04-07,-8294.859516604112
183,Apr 08 2014,16558.284357095785,2014-04-08,-910.0255111276892
184,Apr 09 2014,16507.842157204268,2014-04-09,-50.44219989151679
185,Apr 10 2014,16305.057582354068,2014-04-10,-202.78457485020044
186,Apr 11 2014,17647.461976957293,2014-04-11,1342.4043946032252
187,Apr 12 2014,23716.92741754069,2014-04-12,6069.465440583397
188,Apr 13 2014,25884.32729133966,2014-04-13,2167.3998737989714
189,Apr 14 2014,18297.723572902698,2014-04-14,-7586.603718436963
190,Apr 15 2014,18284.600409397906,2014-04-15,-13.123163504791592
191,Apr 16 2014,17446.28837691797,2014-04-16,-838.3120324799347
192,Apr 17 2014,17375.757270532995,2014-04-17,-70.53110638497674
193,Apr 18 2014,20596.66376486394,2014-04-18,3220.906494330946
194,Apr 19 2014,24850.750002567846,2014-04-19,4254.086237703905
195,Apr 20 2014,24680.201041333443,2014-04-20,-170.54896123440267
