TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF OCT 07, 2013 (B)",Netflix : Online,560.5,222.9,54.6,263.2,19.8,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",Netflix : Online,561.7,117.2,21.3,413.5,9.7,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",Netflix : Online,449.3,145.8,14.1,279.1,10.3,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Netflix : Online,523.3,44.7,3.7,326.1,21.5,0,0,0,0,0,0,127.2
"WEEK OF OCT 28, 2013 (B)",Netflix-Aziz Ansari Buried Alive : Online,105,0,0,0,0,0,0,0,0,0,0,105
"WEEK OF OCT 28, 2013 (B)",Netflix-Russell Peters Notorious : Online,0.8,0,0,0,0,0,0,0,0,0,0,0.8
"WEEK OF NOV 04, 2013 (B)",Netflix : Online,419.3,175.9,13,215.3,15.1,0,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",Netflix : Online,697.7,194.4,31.9,457.7,13.7,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",Netflix : Online,1.5,0,1,0,0.5,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",Netflix-Aziz Ansari Buried Alive : Online,403,0,0,0,0,403,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",Netflix : Online,3733.5,1704,358.7,277.2,15.7,255.8,0,0,207.4,0,25,889.7
"WEEK OF NOV 25, 2013 (B)",Netflix-Lilyhammer : Online,13.5,0,0,0,0,0,0,0,0,0,0,13.5
"WEEK OF NOV 25, 2013 (B)",Netflix-Short Game : Online,131.6,0,0,0,0,131.6,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",Netflix-Turbo Fast : Online,5,0,0,0,0,0,0,0,0,5,0,0
"WEEK OF DEC 02, 2013 (B)",Netflix : Online,1757.7,988.3,338.6,239.8,16.1,0,0,0,0,0,174.9,0
"WEEK OF DEC 02, 2013 (B)",Netflix-Turbo Fast : Online,34.9,0,0,0,0,0,0,0,0,34.9,0,0
"WEEK OF DEC 09, 2013 (B)",Netflix : Online,1308.3,197.5,339.2,191.4,26.4,378.8,0,0,0,0,174.9,0
"WEEK OF DEC 09, 2013 (B)",Netflix-Square : Online,44.7,0,0,0,0,0,0,0,44.7,0,0,0
"WEEK OF DEC 09, 2013 (B)",Netflix-Turbo Fast : Online,34.9,0,0,0,0,0,0,0,0,34.9,0,0
"WEEK OF DEC 16, 2013 (B)",Netflix : Online,1734.9,789.6,532.9,194.3,43.2,0,0,0,0,0,174.9,0
"WEEK OF DEC 16, 2013 (B)",Netflix-Lilyhammer : Online,201.5,0,0,0,0,201.5,0,0,0,0,0,0
"WEEK OF DEC 16, 2013 (B)",Netflix-Short Game : Online,189.4,0,0,0,0,189.4,0,0,0,0,0,0
"WEEK OF DEC 16, 2013 (B)",Netflix-Turbo Fast : Online,134.7,27.3,72.5,0,0,0,0,0,0,34.9,0,0
"WEEK OF DEC 23, 2013 (B)",Netflix : Online,3859.3,2434.8,905.1,338.5,6,0,0,0,0,0,174.9,0
"WEEK OF DEC 23, 2013 (B)",Netflix-Short Game : Online,324.4,0,0,0,0,324.4,0,0,0,0,0,0
"WEEK OF DEC 23, 2013 (B)",Netflix-Square : Online,45.4,0,0,0,0,0,0,0,45.4,0,0,0
"WEEK OF DEC 23, 2013 (B)",Netflix-Turbo Fast : Online,226.5,14.2,177.4,0,0,0,0,0,0,34.9,0,0
"WEEK OF DEC 30, 2013 (B)",Netflix : Online,5387.3,2752.7,853.7,450,40.2,853.5,0,0,0,0,50,387.2
"WEEK OF DEC 30, 2013 (B)",Netflix-House Of Cards : Online,48.9,0,0,0,0,0,0,0,0,0,0,48.9
"WEEK OF DEC 30, 2013 (B)",Netflix-Mitt : Online,5.4,0,0,0,0,0,0,0,0,0,0,5.4
"WEEK OF DEC 30, 2013 (B)",Netflix-Short Game : Online,257.5,0,0,0,0,249.5,0,0,0,0,0,8
"WEEK OF DEC 30, 2013 (B)",Netflix-Square : Online,12.2,0,0,0,0,0,0,0,0,0,0,12.2
"WEEK OF DEC 30, 2013 (B)",Netflix-Turbo Fast : Online,139.3,5.7,123.7,0,0,0,0,0,0,10,0,0
"WEEK OF JAN 06, 2014 (B)",Netflix : Online,544.5,68.1,49.7,384.6,42.1,0,0,0,0,0,0,0
"WEEK OF JAN 13, 2014 (B)",Netflix : Online,576.2,45.3,31.8,292.4,14.4,192.3,0,0,0,0,0,0
"WEEK OF JAN 20, 2014 (B)",Netflix : Online,561,68.1,162.3,312.4,18.2,0,0,0,0,0,0,0
"WEEK OF JAN 27, 2014 (B)",Netflix : Online,874.9,44.5,31.5,498.1,14.5,0,0,0,0,0,0,286.3
"WEEK OF JAN 27, 2014 (B)",Netflix-House Of Cards : Online,154.3,0,0,0,0,0,0,0,0,0,0,154.3
"WEEK OF JAN 27, 2014 (B)",Netflix-Mitt : Online,2.6,0,0,0,0,0,0,0,0,0,0,2.6
"WEEK OF JAN 27, 2014 (B)",Netflix-Square : Online,266.5,0,0,0,0,264.5,0,0,0,0,0,2
"WEEK OF FEB 03, 2014 (B)",Netflix-House Of Cards : Online,76.3,0,0,76.3,0,0,0,0,0,0,0,0
"WEEK OF FEB 10, 2014 (B)",Netflix-House Of Cards : Online,783.1,0,0,564.4,0,58.4,0,160.3,0,0,0,0
"WEEK OF FEB 10, 2014 (B)",Netflix-Square : Online,157,0,0,0,0,0,0,0,157,0,0,0
"WEEK OF FEB 17, 2014 (B)",Netflix-House Of Cards : Online,725,0,0,195.3,0,529.7,0,0,0,0,0,0
"WEEK OF FEB 24, 2014 (B)",Netflix : Online,294.3,205.7,1.9,0,0,0,0,0,0,0,0,86.8
"WEEK OF FEB 24, 2014 (B)",Netflix-House Of Cards : Online,2322.3,403.8,142.7,147.1,2.2,1612.4,0,0,0,0,0,14.2
