,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-10-07,24181.293720141723,21096.73183023048,24986.344070574425,24181.293720141723,24181.293720141723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1092.6374591807848,-1092.6374591807848,-1092.6374591807848,0.0,0.0,0.0,-1196.6511019441177,-1196.6511019441177,-1196.6511019441177,104.01364276333292,104.01364276333292,104.01364276333292,0.0,0.0,0.0,23088.65626096094
1,2013-10-08,24171.178014585315,20128.916391835694,24387.304875563026,24171.178014585315,24171.178014585315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1900.5056951590727,-1900.5056951590727,-1900.5056951590727,0.0,0.0,0.0,-2040.2508622877763,-2040.2508622877763,-2040.2508622877763,139.74516712870383,139.74516712870383,139.74516712870383,0.0,0.0,0.0,22270.67231942624
2,2013-10-09,24161.06230902891,19916.55179645481,24032.781878500493,24161.06230902891,24161.06230902891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2084.772119169058,-2084.772119169058,-2084.772119169058,0.0,0.0,0.0,-2242.907878623601,-2242.907878623601,-2242.907878623601,158.13575945454332,158.13575945454332,158.13575945454332,0.0,0.0,0.0,22076.29018985985
3,2013-10-10,24150.94660347251,19945.639652557373,24021.925542206824,24150.94660347251,24150.94660347251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2154.3153392332974,-2154.3153392332974,-2154.3153392332974,0.0,0.0,0.0,-2312.825516414976,-2312.825516414976,-2312.825516414976,158.51017718167813,158.51017718167813,158.51017718167813,0.0,0.0,0.0,21996.63126423921
4,2013-10-11,24140.8308979161,21008.87316599233,24905.2465829164,24140.8308979161,24140.8308979161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1035.4228171817049,-1035.4228171817049,-1035.4228171817049,0.0,0.0,0.0,-1176.0656540466284,-1176.0656540466284,-1176.0656540466284,140.64283686492362,140.64283686492362,140.64283686492362,0.0,0.0,0.0,23105.408080734396
5,2013-10-12,24130.715192359694,26271.68506991172,30046.256451742498,24130.715192359694,24130.715192359694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4043.4511719928564,4043.4511719928564,4043.4511719928564,0.0,0.0,0.0,3938.6810026239723,3938.6810026239723,3938.6810026239723,104.77016936888438,104.77016936888438,104.77016936888438,0.0,0.0,0.0,28174.16636435255
6,2013-10-13,24120.599486803287,27095.8825555137,31156.85030607975,24120.599486803287,24120.599486803287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5081.610575418848,5081.610575418848,5081.610575418848,0.0,0.0,0.0,5030.020010696004,5030.020010696004,5030.020010696004,51.59056472284493,51.59056472284493,51.59056472284493,0.0,0.0,0.0,29202.210062222133
7,2013-10-14,24110.48378124688,21068.326747090134,25186.529766557105,24110.48378124688,24110.48378124688,0.0,0.0,0.0,0.0,0.0,0.0,32.406537776663036,32.406537776663036,32.406537776663036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1181.9928363338013,-1181.9928363338013,-1181.9928363338013,32.406537776663036,32.406537776663036,32.406537776663036,-1196.6511019479565,-1196.6511019479565,-1196.6511019479565,-17.74827216250747,-17.74827216250747,-17.74827216250747,0.0,0.0,0.0,22928.49094491308
8,2013-10-15,24100.368075690472,20056.15182084351,24077.029096753347,24100.368075690472,24100.368075690472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2141.925245248762,-2141.925245248762,-2141.925245248762,0.0,0.0,0.0,-2040.2508622886241,-2040.2508622886241,-2040.2508622886241,-101.67438296013823,-101.67438296013823,-101.67438296013823,0.0,0.0,0.0,21958.44283044171
9,2013-10-16,24090.252370134072,19669.855007656908,23578.77471029935,24090.252370134076,24090.252370134076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2441.1363906851693,-2441.1363906851693,-2441.1363906851693,0.0,0.0,0.0,-2242.907878622942,-2242.907878622942,-2242.907878622942,-198.2285120622272,-198.2285120622272,-198.2285120622272,0.0,0.0,0.0,21649.115979448903
